game_id,commence_time,in_play,bookmaker,last_update,home_team,away_team,market,label,description,price,point
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,FanDuel,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-110,44.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,206,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-260,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-110,5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-110,-5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,MyBookie.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,207,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-250,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,100,5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-110,-5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-107,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,LowVig.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-107,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,207,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-250,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-105,5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-115,-5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetOnline.ag,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-110,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,215,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-286,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-115,5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-110,-5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-113,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetRivers,10/30/2025,New England Patriots,Atlanta Falcons,totals,Under,,-113,45
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetMGM,10/30/2025,New England Patriots,Atlanta Falcons,h2h,Atlanta Falcons,,200,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetMGM,10/30/2025,New England Patriots,Atlanta Falcons,h2h,New England Patriots,,-250,
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetMGM,10/30/2025,New England Patriots,Atlanta Falcons,spreads,Atlanta Falcons,,-110,5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetMGM,10/30/2025,New England Patriots,Atlanta Falcons,spreads,New England Patriots,,-110,-5.5
6dd3b8a705ed0db85d59fa19b9062cc8,11/2/2025,FALSE,BetMGM,10/30/2025,New England Patriots,Atlanta Falcons,totals,Over,,-110,45
